FCN,Offense,Analyst,Sufficiency,Anatomical source,AFIS system,AFIS Result,Verified by
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,AQ,PP,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,AQ,PP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,FP,,,
,,,AQ,FP,,,
,,,AQ,FP,,,
,,,AQ,FP,,,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,PAA,
,,,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 082832309,Robbery Convenience Store By Firearms,Starla,AQ,FP,NGI,Reverse,
FCN: 090735108,ROB - Robbery,Cassaundra,AQ,FP,NGI,PAA,
FCN: 094017204,HOM - Homicide,Becky,AQ,FP,NGI,Reverse,
FCN: 094440904,HOM - Homicide,Maranda,AQ,FP,NGI,PAA,
FCN: 096942908,ROB - Robbery,Jeniffer,AQ,FP,NGI,Reverse,
,,,AQ,FP,NGI,Reverse,
,,,AQ,FP,NGI,Reverse,
FCN: 097152708,ROB - Robbery,Cassaundra,AQ,FP,NGI,PAA,
FCN: 100443501,HOM - Homicide,DJ,NV,,,,Rodney
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,NGI,PAA,
,,,NV,,,,
,,,AQ,FP,,,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,,,
,,,AQ,FP,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,NGI,PAA,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,NGI,No Hit,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,FP,NGI,PAA,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,NGI,No Hit,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,,NV,,,,
,,,AQ,PP,,,
,,,AQ,PP,,,
,,,AQ,PP,,,
,,,NV,,,,
,,,NV,,,,
,,,AQ,PP,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,NGI,PAA,
FCN: 102041608,ROB - Robbery,Jeniffer,AQ,FP,NGI,Reverse,
FCN: 103914009,Investigation For Other Sex Offenses,Cassaundra,AQ,FP,NGI,PAA,
FCN: 103970106,Capital Murder By Firearms,Cassaundra,AQ,FP,NGI,PAA,
FCN: 104316800,HOM - Homicide,Adam,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,PAA,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,,,,,
,,,NV,,,,
,,,AQ,JNT,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,NV,,,,
,,,,,,,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,NV,,,,
,,,,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NRD,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,Adam,AQ,FP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,PAA,
,,,,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
FCN: 105624908,ROB - Robbery,David,AQ,FP,NGI,Reverse,
,,Becky,AQ,FP,NGI,Reverse,
FCN: 108384808,HOM - Homicide,Cassaundra,AQ,FP,NEC,PAA,
FCN: 111452608,ROB - Robbery,Cassaundra,AQ,FP,NGI,PAA,
,,,AQ,FP,NGI,PAA,
FCN: 116373209,ROB - Robbery,Cassaundra,AQ,FP,NGI,PAA,
FCN: 116625908,ROB - Robbery,Cassaundra,AQ,FP,NGI,PAA,
FCN: 117210005,SEX - Sex Crime,Sandy,AQ,FP,NGI,Reverse,
FCN: 123516108,HOM - Homicide,Vickie,AQ,FP,NGI,Reverse,
FCN: 128241309,ROB - Robbery,Jeniffer,AQ,,NGI,Reverse,
FCN: 131238909,ROB - Robbery,Cassaundra,AQ,FP,NGI,PAA,
FCN: 157837008,HOM - Homicide,Adam,AQ,FP,NGI,Reverse,
FCN: 161895008,ROB - Robbery,Gail,AQ,FP,NGI,Reverse,
FCN: 162703708,Aggravated Robbery of Bank By Firearms,David,AQ,FP,NGI,Reverse,
FCN: 162792505,Capital Murder By Firearms,Stacie,AQ,FP,NGI,PAA,
FCN: 168412408,ROB - Robbery,Stacie,AQ,FP,NGI,Reverse,
FCN: 169526104,HOM - Homicide,Stacie,AQ,FP,NGI,PAA,
,,,AQ,FP,NGI,PAA,
,,,AQ,FP,NGI,PAA,
FCN: 177333508,ROB - Robbery,David,AQ,FP,NGI,Reverse,
FCN: 186800908,Forgery Check,DJ,AQ,FP,NEC,Reverse,
FCN: 188929005,HOM - Homicide,Sandy,AQ,FP,NGI,Reverse,
FCN: 191726806,Aggravated Rape (Sexual Assault),Gail,AQ,FP,NGI,Reverse,
FCN: 195607805,Murder,Brenda,AQ,FP,NGI,Reverse,
FCN: 197861804,Arson,Maranda,AQ,FP,NGI,PAA,
,,Cassaundra,AQ,FP,NGI,PAA,
FCN: 2010-11552,Robbery Miscellaneous,DJ,AQ,FP,NEC,Reverse,
FCN: 2010-13727,Investigation Homicide,Stacie,AQ,FP,NGI,Reverse,
FCN: 2010-15186,Aggravated Assault On A Police Officer,DJ,AQ,FP,NGI,PAA,
,,Sandy,AQ,FP,NGI,Reverse,
FCN: 2010-16971,Murder,Adam,AQ,FP,NGI,Reverse,
FCN: 2010-17606,Robbery Miscellaneous,Brenda,AQ,FP,NGI,Reverse,
FCN: 2010-26817,Burglary Building Time Unknown,Becky,AQ,FP,NGI,Reverse,
,,,AQ,FP,NGI,Reverse,
,,,AQ,FP,NGI,Reverse,
FCN: 2011-02922,Burglary Habitation Time Unknown,Jeniffer,,FP,NGI,Reverse,
,,,,FP,NGI,Reverse,
FCN: 2011-06694,Murder By Firearms,Cassaundra,AQ,FP,NGI,PAA,
FCN: 2011-07867,Robbery Residence Or Premises By Firearms,Rodney,AQ,FP,NGI,Reverse,
FCN: 2011-08889,Burglary Habitation Time Unknown,Becky,AQ,FP,NGI,Reverse,
FCN: 2011-11588,Burglary Habitation Day,Stacie,AQ,FP,NGI,PAA,
,,,AQ,FP,NGI,PAA,
FCN: 2011-11778,Robbery Residence Or Premises By Firearms,Vickie,AQ,FP,NEC,Reverse,
FCN: 2011-13255,Aggravated Assault D.W. (FV) Or (GC),DJ,AQ,FP,NGI,PAA,
,,,AQ,FP,NGI,PAA,
FCN: 2011-13324,Aggravated Assault D.W. (FV) Or (GC),DJ,AQ,PP,NEC,Reverse,
FCN: 2011-16684,Murder By Firearms,Sandy,AQ,FP,NEC,Reverse,
FCN: 2011-16751,Murder,Becky,AQ,FP,NGI,PAA,
,,,AQ,FP,NGI,PAA,
FCN: 2011-18316,Aggravated Rape (Sexual Assault),Gail,AQ,FP,NGI,Reverse,
FCN: 2011-22082,Murder,DJ,AQ,FP,NGI,PAA,
FCN: 2012-00146,Robbery Residence Or Premises By Firearms,Becky,AQ,FP,NGI,Reverse,
,,,AQ,FP,NGI,Reverse,
FCN: 2012-00694,Robbery Residence Or Premises By Firearms,Becky,AQ,FP,NGI,Reverse,
FCN: 2012-02571,"Robbery Residence Or Premises By Strong Arm (Hands, Fists, Feet, Etc.)",Gail,AQ,FP,NGI,Reverse,
FCN: 2012-03007,Robbery Miscellaneous By Firearms,Becky,AQ,FP,NGI,Reverse,
FCN: 2012-03127,Robbery Commercial House By Firearms,Becky,AQ,FP,NGI,Reverse,
FCN: 2012-03128,Unlawful Possession Of Firearm By Felon,Brenda,AQ,FP,NGI,Reverse,
FCN: 2012-06251,Murder By Firearms,David,AQ,FP,NGI,Reverse,
,,,AQ,FP,NGI,Reverse,
,,David,AQ,PP,Not Entered,,Stacie
,,,AQ,PP,MorphoTrack,No Hit,Stacie
,,,,,NEC,No Hit,Stacie
,,,,,NGI,No Hit,Stacie
,,,AQ,PP,MorphoTrack,No Hit,Stacie
,,,,,NEC,No Hit,Stacie
,,,,,NGI,No Hit,Stacie
,,,AQ,PP,MorphoTrack,No Hit,Stacie
,,,,,NEC,No Hit,Stacie
,,,,,NGI,No Hit,Stacie
,,,AQ,FP,Not Entered,,Stacie
,,,AQ,FP,MorphoTrack,No Hit,Stacie
,,,,,NEC,No Hit,Stacie
,,,,,NGI,No Hit,Stacie
,,,AQ,FP,Not Entered,,Stacie
,,,NV,PP,MorphoTrack,No Hit,
,,,,,NEC,No Hit,
,,,,,NGI,No Hit,
,,,NV,,Not Entered,,
,,,NV,,Not Entered,,
,,,AQ,PP,MorphoTrack,No Hit,Stacie
,,,,,NEC,No Hit,Stacie
,,,,,NGI,No Hit,Stacie
,,,AQ,PP,MorphoTrack,No Hit,Stacie
,,,,,NEC,No Hit,Stacie
,,,,,NGI,No Hit,Stacie
,,,AQ,FP,Not Entered,,Stacie
,,,AQ,FP,Not Entered,,Stacie
,,,AQ,FP,Not Entered,,Stacie
,,,AQ,PP,NGI,PAA,Stacie
,,,AQ,FP,MorphoTrack,No Hit,Stacie
,,,,,NEC,No Hit,Stacie
,,,,,NGI,No Hit,Stacie
,,,AQ,FP,NGI,PAA,Stacie
FCN: 2012-08582,Robbery Highway By Firearms,Jeniffer,AQ,FP,NGI,Reverse,
,,,AQ,FP,NGI,Reverse,
,,,AQ,FP,NGI,Reverse,
FCN: 2012-08817,Murder,Brenda,AQ,FP,NGI,Reverse,
FCN: 2012-14646,ROB - Robbery,Jeniffer,AQ,FP,NGI,Reverse,
FCN: 2012-15876,Robbery Residence Or Premises By Other Weapon/Means/Method/Drugging,DJ,AQ,PP,NEC,Reverse,
FCN: 2012-17433,Robbery Highway By Firearms,Stacie,AQ,FP,NGI,Reverse,
FCN: 2012-25564,Robbery Highway By Firearms,DJ,AQ,PP,NEC,Reverse,
,,,AQ,PP,NEC,Reverse,
FCN: 2013-04549,"Robbery Residence Or Premises By Strong Arm (Hands, Fists, Feet, Etc.)",Vickie,AQ,FP,NGI,Reverse,
FCN: 2013-11499,Robbery Miscellaneous By Firearms,Jeniffer,AQ,PP,NEC,Reverse,
FCN: 2013-14754,Burglary Habitation Day,DJ,AQ,FP,NGI,PAA,
FCN: 2013-17798,Robbery Residence Or Premises By Firearms,DJ,AQ,FP,NEC,Reverse,
FCN: 2013-19666,Theft Passenger Car,David,AQ,PP,NEC,Reverse,
FCN: 2013-19884,Aggravated Assault D.W. (FV) Or (GC),David,AQ,PP,NEC,Reverse,
,,Gail,AQ,FP,NGI,Reverse,
FCN: 2013-21269,Burglary Habitation Night,Sandy,AQ,FP,NGI,Reverse,
FCN: 2013-24405,Investigation For Other Sex Offenses,DJ,AQ,PP,NEC,Reverse,
FCN: 2013-25344,Aggravated Robbery of Bank By Firearms,DJ,AQ,FP,NGI,PAA,
,,,AQ,FP,NGI,PAA,
FCN: 2013-25560,Robbery Residence Or Premises By Firearms,Stacie,AQ,FP,NGI,PAA,
FCN: 2013-27478,Theft Passenger Car,Becky,AQ,FP,NGI,Reverse,
FCN: 2013-28558,Burglary Habitation Night,Becky,AQ,PP,NGI,Reverse,
FCN: 2013-29173,Theft Truck,DJ,AQ,FP,NGI,PAA,
FCN: 2013-30117,Theft From Auto (Not Accessories) (Burglary),DJ,AQ,,NGI,Reverse,
FCN: 2013-33383,Theft From Auto (Not Accessories) (Burglary),Gail,AQ,FP,NGI,Reverse,
FCN: 2014-03366,Robbery Highway By Firearms,David,AQ,,NGI,Reverse,
FCN: 2014-08047,Capital Murder By Firearms,David,AQ,PP,NGI,Reverse,
FCN: 2014-08159,Burglary Habitation Day,Stacie,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
FCN: 2014-08366,Burglary Habitation Day,Stacie,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NAQ,FP,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NAQ,FP,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
FCN: 2014-08545,Outside Case For Auto Theft (Recovered Inside City,Cassaundra,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
FCN: 2014-08618,Outside Case For Auto Theft (Recovered Inside City,Cassaundra,AQ,FP,MorphoTrack,No Hit,
FCN: 2014-08622,Burglary Building Night,Adam,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 2014-08824,Burglary Habitation Day,Stacie,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,PAA,
,,Stacie,,,,,
FCN: 2014-08826,Burglary Habitation Time Unknown,Tracy,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
FCN: 2014-08834,Burglary Building Night,Adam,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,,MorphoTrack,PAA,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
,,Adam,,,,,
FCN: 2014-08926,Theft Passenger Car,Tracy,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,NV,,,,
FCN: 2014-08927,Burglary Habitation Day,Tracy,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
FCN: 2014-08928,Burglary Habitation Day,Tracy,NAQ,FP,,,
,,,NAQ,FP,,,
,,,NAQ,FP,,,
,,,NAQ,FP,,,
,,,NAQ,FP,,,
,,,NAQ,FP,,,
,,,NAQ,IMP,,,
,,,NAQ,FP,,,
FCN: 2014-08931,Burglary Habitation Time Unknown,Tracy,AQ,FP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,PAA,
,,Tracy,,,,,
FCN: 2014-08932,Burglary Habitation Day,Tracy,NV,,,,
FCN: 2014-08944,Theft Passenger Car,Cassaundra,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
FCN: 2014-08965,Theft Passenger Car,Cassaundra,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
FCN: 2014-08967,Burglary Building Time Unknown,Adam,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
FCN: 2014-08968,Burglary Habitation Day,Cassaundra,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
FCN: 2014-08969,Burglary Habitation Day,Cassaundra,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,IMP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,Cassaundra,,,,,
FCN: 2014-08979,Burglary Habitation Day,Cassaundra,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,NAQ,IMP,Not Entered,,
,,,AQ,FP,MorphoTrack,PAA,
FCN: 2014-09338,Burglary Habitation Day,Cassaundra,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
FCN: 2014-09375,Burglary Habitation Time Unknown,Cassaundra,AQ,FP,MorphoTrack,PAA,
,,,AQ,JNT,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,PAA,
,,,AQ,FP,MorphoTrack,PAA,
FCN: 2014-09376,Burglary Habitation Night,Tracy,NV,,,,
,,,NV,,,,
FCN: 2014-09383,Burglary Habitation Day,Tracy,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,AQ,IMP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,Tracy,,,,,
FCN: 2014-09384,Burglary Habitation Day,Maranda,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 2014-09386,Burglary Habitation Time Unknown,Stacie,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
FCN: 2014-09387,Theft Passenger Car,Cassaundra,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NAQ,FP,,,
,,,NV,,,,
FCN: 2014-09389,Burglary Habitation Day,Stacie,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
FCN: 2014-09459,Outside Case For Auto Theft (Recovered Inside City,Cassaundra,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
FCN: 2014-09487,Investigation - Burglary and Theft (B&T),Maranda,NV,,,,
,,,AQ,FP,,,
,,,AQ,IMP,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,AQ,PP,MorphoTrack,No Hit,
FCN: 2014-09489,Burglary Habitation Night,Stacie,AQ,PP,MorphoTrack,PAA,
,,,AQ,PP,MorphoTrack,PAA,
,,Stacie,,,,,
FCN: 2014-09493,Burglary Habitation Night,Stacie,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NAQ,FP,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
FCN: 2014-09573,Burglary Habitation Day,Maranda,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 2014-09574,Theft Miscellaneous (Including Boats,Cassaundra,NV,,,,
FCN: 2014-09582,Outside Case For Auto Theft (Recovered Inside City,Cassaundra,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
FCN: 2014-09585,Burglary Habitation Day,Stacie,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
FCN: 2014-09591,Theft Truck,Cassaundra,NAQ,FP,,,
FCN: 2014-09607,Burglary Building Night,Adam,NV,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 2014-09732,Burglary Habitation Day,Tracy,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
FCN: 2014-09737,Burglary Habitation Time Unknown,Tracy,AQ,PP,MorphoTrack,,
,,,AQ,PP,MorphoTrack,PAA,
,,,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
FCN: 2014-09855,Investigation - Burglary and Theft (B&T),Maranda,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,NV,,,,
FCN: 2014-09856,Theft Miscellaneous (Including Boats,Cassaundra,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
FCN: 2014-09857,Burglary Habitation Time Unknown,Tracy,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
FCN: 2014-09861,Outside Case For Auto Theft (Recovered Inside City,Cassaundra,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
FCN: 2014-09862,Burglary Habitation Night,Stacie,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
FCN: 2014-09869,Theft Truck,Cassaundra,NV,,,,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,FP,MorphoTrack,No Hit,
,,,NV,,,,
,,,NV,,,,
,,,AQ,FP,MorphoTrack,PAA,
FCN: 2014-09870,Burglary Habitation Day,Rodney,NV,,,,
,,,AQ,PP,MorphoTrack,PAA,
,,,NV,,,,
,,,NV,,,,
,,Rodney,,,,,
FCN: 2014-09871,Investigation For Auto Theft,Cassaundra,NV,,,,
,,,AQ,FP,MorphoTrack,No Hit,
,,,AQ,JNT,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
,,,NV,,,,
,,,AQ,PP,MorphoTrack,No Hit,
FCN: 2014-09880,Theft Passenger Car,Cassaundra,AQ,IMP,MorphoTrack,No Hit,
,,,AQ,PP,MorphoTrack,No Hit,
